"Recipient Phone Number","Recipient Phone Number"
"Click the Send Test SMS button below and check SMS on this number","Click the Send Test SMS button below and check SMS on this number"
Analytics,Analytics
"Campaign Source","Campaign Source"
"Campaign Medium","Campaign Medium"
"Campaign Name","Campaign Name"
"Campaign Term","Campaign Term"
"Campaign Content","Campaign Content"
Coupon,Coupon
Rule,Rule
"Please select rule to use this feature.","Please select rule to use this feature."
Valid,Valid
Hour(s),Hour(s)
"Code Length","Code Length"
"Excluding prefix, suffix and separators. If empty, the default is 5","Excluding prefix, suffix and separators. If empty, the default is 5"
"Code Format","Code Format"
"Code Prefix","Code Prefix"
"Code Suffix","Code Suffix"
"Dash Every X Characters","Dash Every X Characters"
"Real-time Reports","Real-time Reports"
"How to measure Abandoned Cart","How to measure Abandoned Cart"
"Time to define an abandoned cart. The unit is minute.<br/>
                    Example: If we enter 30, then after 30 minutes, carts will be considered abandoned. The carts under 30 minutes will be in the Real Time column.","Time to define an abandoned cart. The unit is minute.<br/>
                    Example: If we enter 30, then after 30 minutes, carts will be considered abandoned. The carts under 30 minutes will be in the Real Time column."
"Default Date Range","Default Date Range"
ID,ID
Subject,Subject
Recipient,Recipient
"Sequent number","Sequent number"
"Sent Date","Sent Date"
Status,Status
"Change Abandoned Cart Email Blacklist","Change Abandoned Cart Email Blacklist"
"Blacklist Email","Blacklist Email"
Period,Period
"Cart Abandon Rate(%)","Cart Abandon Rate(%)"
"Successful Cart Rate(%)","Successful Cart Rate(%)"
"Total Abandoned Revenue","Total Abandoned Revenue"
"Number Of Successful Carts","Number Of Successful Carts"
"Recaptured Rate (%)","Recaptured Rate (%)"
Thumbnail,Thumbnail
SKU,SKU
"Abandoned Time","Abandoned Time"
